date,rainfall_mm,present
2021-01-01,3.4766602516174316,True
2021-01-02,0.8750144243240356,True
2021-01-03,1.7023032903671265,True
2021-01-04,1.6601587533950806,True
2021-01-05,0.22946377098560333,True
2021-01-06,0.6773773431777954,True
2021-01-07,0.06674584746360779,True
2021-01-08,1.3757485151290894,True
2021-01-09,4.4199137687683105,True
2021-01-10,2.191999673843384,True
2021-01-11,1.0813853740692139,True
2021-01-12,1.4503244161605835,True
2021-01-13,0.7898479700088501,True
2021-01-14,0.3345016539096832,True
2021-01-15,0.40668389201164246,True
2021-01-16,0.417096346616745,True
2021-01-17,0.33746370673179626,True
2021-01-18,0.1718079000711441,True
2021-01-19,0.24351166188716888,True
2021-01-20,0.15726259350776672,True
2021-01-21,0.31004273891448975,True
2021-01-22,1.9880704879760742,True
2021-01-23,0.19470740854740143,True
2021-01-24,0.09998467564582825,True
2021-01-25,0.33736276626586914,True
2021-01-26,0.4860438108444214,True
2021-01-27,0.04147229343652725,True
2021-01-28,0.04877195134758949,True
2021-01-29,0.46015664935112,True
2021-01-30,1.1996675729751587,True
2021-01-31,0.25459614396095276,True
2021-02-01,0.0031600159127265215,True
2021-02-02,0.004795467481017113,True
2021-02-03,0.04395275190472603,True
2021-02-04,0.17772753536701202,True
2021-02-05,0.030681511387228966,True
2021-02-06,0.9112194776535034,True
2021-02-07,2.2092032432556152,True
2021-02-08,1.4785804748535156,True
2021-02-09,1.5254989862442017,True
2021-02-10,1.2705632448196411,True
2021-02-11,2.144380569458008,True
2021-02-12,1.7137086391448975,True
2021-02-13,2.8188304901123047,True
2021-02-14,1.2431014776229858,True
2021-02-15,0.20571748912334442,True
2021-02-16,0.7504043579101562,True
2021-02-17,0.18395349383354187,True
2021-02-18,0.6879897713661194,True
2021-02-19,0.24223141372203827,True
2021-02-20,0.7844624519348145,True
2021-02-21,2.9068572521209717,True
2021-02-22,6.699710369110107,True
2021-02-23,1.4341918230056763,True
2021-02-24,1.604962706565857,True
2021-02-25,0.27453991770744324,True
2021-02-26,0.05080277845263481,True
2021-02-27,0.08434540778398514,True
2021-02-28,0.03440968692302704,True
2021-03-01,0.3784451484680176,True
2021-03-02,0.07337014377117157,True
2021-03-03,0.35008013248443604,True
2021-03-04,1.4097610712051392,True
2021-03-05,2.188876152038574,True
2021-03-06,1.3776659965515137,True
2021-03-07,0.13559496402740479,True
2021-03-08,0.8350099921226501,True
2021-03-09,0.23021483421325684,True
2021-03-10,0.8362239003181458,True
2021-03-11,0.028020555153489113,True
2021-03-12,0.07220297306776047,True
2021-03-13,0.5648521184921265,True
2021-03-14,0.03358037769794464,True
2021-03-15,1.0500985383987427,True
2021-03-16,0.1950657218694687,True
2021-03-17,0.5126190781593323,True
2021-03-18,2.587639331817627,True
2021-03-19,2.4126455783843994,True
