Locations,Field,Soil fertility,Treatment,Period,Total Nitrogen (g kg-1),Soil organic carbon (g kg-1),pH (H20),Resin_Phosphorus (mg kg-1),Exchangeable_Potassium (mg kg-1),Sand (g kg-1),Silt (g kg-1),Clay (g kg-1)
Embu,20,Low,NTRM,Baseline,0.5743790671615054,4.769549356872778,4.99,1.3376327387464284,0.1799703759558146,,,
Mbeere,21,High,C,Baseline,0.47536757769405497,4.940378957767919,6.79,1.0825183968257333,0.38326806959473597,,,
Mbeere,21,High,NTR,Baseline,0.45231341897196103,3.3875419741623567,6.81,17.8568029281399,0.37504070913819854,,,
Mbeere,21,High,CTM,Baseline,0.4563587527013615,4.777216555026167,6.81,2.9176925891940857,0.4315997741073182,,,
Mbeere,21,High,NTRM,Baseline,0.5416050075706704,4.751014404405099,6.77,21.05430514869335,0.33660336704348054,,,
Mbeere,22,Low,C,Baseline,0.5243827386076356,4.329874165794083,6.82,4.973623019376491,0.36775365367724155,,,
Mbeere,22,Low,NTR,Baseline,0.6,5.4,6.98,2.8266822436378236,0.3219451784595782,,,
Mbeere,22,Low,CTM,Baseline,0.9155921901158621,5.974862903749337,6.58,8.965604543443243,0.40391078694628846,,,
Mbeere,22,Low,NTRM,Baseline,0.6202022149592676,5.115590014120945,6.82,2.9608549097549886,0.3826946011614271,,,
Mbeere,23,High,C,Baseline,0.6408793470837648,5.579620484354873,6.35,16.60637650796296,0.8393372603228311,,,
Mbeere,23,High,NTR,Baseline,0.6220744546047942,5.540317565385307,5.78,25.56860585147674,0.3324978259757532,,,
Mbeere,23,High,CTM,Baseline,0.5178536984220297,4.616277805252603,5.99,3.8449866968555706,0.327055419387508,,,
Mbeere,23,High,NTRM,Baseline,0.674288486306553,5.6448505847034145,6.75,0.6228357238508849,0.6733420207255186,,,
Mbeere,24,High,C,Baseline,2.751119988633204,24.75113572073274,5.68,0.018015305117818743,0.48012282563417646,,,
Mbeere,24,High,NTR,Baseline,0.7000000000000001,5.8999999999999995,5.95,0.03891439152718573,0.4448131451180645,,,
Mbeere,24,High,CTM,Baseline,0.5401264250829174,4.607978083116436,5.77,0.1486984408038521,0.40667041792419045,,,
Mbeere,24,High,NTRM,Baseline,0.6516895001144227,5.522405482928745,5.72,0.37423611054335937,0.4137228603868967,,,
Mbeere,25,High,C,Baseline,0.4183608905949988,4.134008174810092,7.03,3.181420265996761,0.46061191115277317,,,
