Locations,Field,Soil fertility,Treatment,Season,N-AUE kg grain (kg N)−1  ,P-AUE kg grain (kg P)−1,K-AUE kg grain (kg N)−1,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Machang'a,26,High,NTR,SR 2018,29.0,77.33333333333333,58.0,,,,
Machang'a,26,High,CTM,SR 2018,13.875,37.0,27.75,,,,
Machang'a,26,High,NTRM,SR 2018,13.375,35.666666666666664,26.75,,,,
Machang'a,27,High,NTR,SR 2018,6.5,17.333333333333332,13.0,,,,
Machang'a,27,High,CTM,SR 2018,9.125,24.333333333333332,18.25,,,,
Machang'a,27,High,NTRM,SR 2018,7.25,19.333333333333332,14.5,,,,
Machang'a,28,Low,NTR,SR 2018,4.125,11.0,8.25,,,,
Machang'a,28,Low,CTM,SR 2018,6.625,17.666666666666668,13.25,,,,
Machang'a,28,Low,NTRM,SR 2018,4.75,12.666666666666666,9.5,,,,
Machang'a,33,High,NTR,SR 2018,2.75,7.333333333333333,5.5,,,,
Machang'a,33,High,CTM,SR 2018,3.875,10.333333333333334,7.75,,,,
Machang'a,33,High,NTRM,SR 2018,12.0,32.0,24.0,,,,
Machang'a,34,Low,NTR,SR 2018,0.125,0.3333333333333333,0.25,,,,
Machang'a,34,Low,CTM,SR 2018,23.25,62.0,46.5,,,,
Machang'a,34,Low,NTRM,SR 2018,11.625,31.0,23.25,,,,
Machang'a,35,High,NTR,SR 2018,10.125,27.0,20.25,,,,
Machang'a,35,High,CTM,SR 2018,6.75,18.0,13.5,,,,
Machang'a,35,High,NTRM,SR 2018,14.625,39.0,29.25,,,,
Machang'a,36,Low,NTR,SR 2018,0.0,0.0,0.0,,,,
Machang'a,36,Low,CTM,SR 2018,0.0,0.0,0.0,,,,
Machang'a,36,Low,NTRM,SR 2018,0.0,0.0,0.0,,,,
Machang'a,39,High,NTR,SR 2018,15.625,41.666666666666664,31.25,,,,
Machang'a,39,High,CTM,SR 2018,7.5,20.0,15.0,,,,
Machang'a,39,High,NTRM,SR 2018,15.625,41.666666666666664,31.25,,,,
Machang'a,40,High,NTR,SR 2018,22.375,59.666666666666664,44.75,,,,
Machang'a,40,High,CTM,SR 2018,25.625,68.33333333333333,51.25,,,,
Machang'a,40,High,NTRM,SR 2018,15.625,41.666666666666664,31.25,,,,
