county,lat,lon,nitrogen_total,phosphorous_extractable,potassium_extractable,carbon_organic,ph,cation_exchange_capacity,sulphur_extractable,magnesium_extractable,calcium_extractable,zinc_extractable,bulk_density,clay_content,sand_content,silt_content
Nakuru,-0.3031,36.08,1.2,26.1,444.9,13.9,6.9,19.1,6.4,364.0,1807.0,2.7,1.2,28,50,23
Kakamega,0.2827,34.7519,1.3,11.2,120.5,13.9,5.7,10.0,5.7,180.3,734.1,4.5,1.3,28,51,22
Bungoma,0.5635,34.5606,1.1,11.2,133.3,11.2,5.8,9.0,5.0,147.4,811.4,2.7,1.3,28,52,25
Trans Nzoia,1.0566,34.9519,2.0,10.0,163.0,17.2,5.8,11.2,5.7,220.4,811.4,2.3,1.1,40,36,25
Uasin Gishu,0.5143,35.2698,1.3,11.2,269.4,15.4,6.0,15.4,5.7,329.3,1338.4,3.1,1.2,29,42,25
